"","date","outdoor_dates","date_ideas","match","romance","intimacy","video_dating","relationships","hookups","kissing","hugging","sex","date_from_home","hinge","bumble","dating_apps","love","online_dating"
"172",2020-09-06,38,67,45,48,72,73,84,71,15,22,72,2,83,28,77,73,74
"173",2020-09-13,44,64,46,48,77,64,92,67,14,22,70,2,80,27,68,72,77
"174",2020-09-20,62,60,46,44,74,55,100,68,14,22,68,3,78,28,62,73,65
"175",2020-09-27,25,66,46,41,83,55,91,62,13,25,67,2,79,30,69,68,66
"176",2020-10-04,56,69,48,42,72,36,94,64,15,25,68,2,84,28,68,68,61
"177",2020-10-11,52,67,47,44,71,39,84,69,14,24,73,2,81,28,72,69,64
"178",2020-10-18,46,67,49,43,77,57,90,72,14,29,76,2,84,27,77,73,61
"179",2020-10-25,49,59,47,43,72,56,83,64,14,24,72,2,76,28,73,67,56
"180",2020-11-01,34,54,38,37,68,49,69,56,12,21,60,2,66,21,66,56,49
"181",2020-11-08,54,67,44,46,89,71,81,58,14,28,69,2,74,27,71,67,62
"182",2020-11-15,49,63,46,50,87,64,90,59,14,23,72,3,86,25,75,69,56
"183",2020-11-22,33,46,60,51,76,42,69,73,14,23,73,1,77,27,83,73,68
"184",2020-11-29,27,55,55,47,72,43,81,67,14,23,71,2,74,26,77,70,59
"185",2020-12-06,31,56,47,72,77,61,83,66,14,25,74,3,75,26,75,66,57
"186",2020-12-13,36,55,44,90,70,56,79,60,14,22,72,2,74,26,68,71,59
"187",2020-12-20,34,47,42,75,56,54,55,62,14,24,73,2,68,24,70,74,55
"188",2020-12-27,24,56,46,78,69,64,60,68,15,24,78,2,80,26,92,73,64
"189",2021-01-03,49,66,45,69,83,55,67,67,13,25,72,2,77,25,75,70,54
"190",2021-01-10,53,74,46,60,74,45,70,61,14,24,75,3,76,28,72,69,53
"191",2021-01-17,42,77,47,54,73,53,74,67,14,33,75,2,84,30,83,70,55
"192",2021-01-24,19,71,45,56,71,42,80,62,14,24,73,2,80,30,75,73,61
"193",2021-01-31,35,73,48,56,83,52,84,68,14,23,74,3,78,30,69,74,53
"194",2021-02-07,28,84,49,59,93,61,82,61,17,26,74,3,78,100,71,80,59
"195",2021-02-14,40,70,50,60,80,79,79,68,15,24,75,3,79,45,80,83,65
"196",2021-02-21,32,62,48,48,96,54,82,64,13,22,75,3,83,34,73,71,52
"197",2021-02-28,48,62,47,48,74,49,80,63,13,22,73,3,81,29,68,68,55
"198",2021-03-07,47,54,45,44,75,39,80,64,12,23,71,3,80,34,63,67,49
"199",2021-03-14,33,60,53,47,75,40,73,70,12,22,71,2,75,28,66,65,53
"200",2021-03-21,58,55,67,46,88,47,73,70,12,21,72,2,79,31,61,64,52
"201",2021-03-28,56,49,52,45,77,43,69,71,13,22,74,2,81,29,71,66,51
"202",2021-04-04,40,55,45,44,79,40,74,77,13,21,74,2,76,36,69,66,74
"203",2021-04-11,35,57,47,48,76,50,75,75,13,20,72,2,80,33,63,63,48
"204",2021-04-18,44,55,47,42,70,41,77,65,14,23,72,2,78,35,69,67,52
